package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.leebeebeom.clothinghelper.ui.main.subcategory.content.SubCategoryContent,SubCategoryContent,1,1,1,0,0,0,1,0,2,5,
com.leebeebeom.clothinghelper.ui.main.subcategory.content.PlaceHolder,PlaceHolder,1,1,1,0,0,0,0,0,1,2,
