package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.leebeebeom.clothinghelper.main.base.AllExpandIcon,AllExpandIcon,1,1,1,0,0,0,0,0,1,3,
com.leebeebeom.clothinghelper.main.base.ExpandIcon,ExpandIcon,1,1,1,0,0,0,0,0,1,5,
com.leebeebeom.clothinghelper.main.base.Fab,Fab,1,1,1,0,0,0,1,0,2,1,
com.leebeebeom.clothinghelper.main.detail.DetailScreen,DetailScreen,1,1,1,0,0,0,0,0,1,1,
com.leebeebeom.clothinghelper.main.detail.AddFab,AddFab,1,1,1,0,0,0,0,0,1,2,
com.leebeebeom.clothinghelper.main.detail.AddFolderFab,AddFolderFab,1,1,1,0,0,0,0,0,1,3,
com.leebeebeom.clothinghelper.main.detail.AddContentFab,AddContentFab,1,1,1,0,0,0,0,0,1,3,
com.leebeebeom.clothinghelper.main.detail.Header,Header,1,1,1,0,0,0,0,0,1,3,
